新竹,#genre#
MOD電影推薦內容,http://61.224.69.212:9088/udp/224.1.4.196:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.102:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.160:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.98:11111
momo1台,http://61.224.69.212:9088/udp/224.1.4.229:11111
momo1台,http://61.224.69.212:9088/udp/230.1.2.63:11111
momo2台,http://61.224.69.212:9088/udp/224.1.4.217:11111
momo2台,http://61.224.69.212:9088/udp/230.1.2.90:11111
MTV Live,http://61.224.69.212:9088/udp/230.1.2.246:11111
MTV Live,http://61.224.69.212:9088/udp/230.1.2.86:11111
MTV綜合電視台,http://61.224.69.212:9088/udp/230.1.2.231:11111
MTV綜合電視台,http://61.224.69.212:9088/udp/230.1.2.43:11111
NBA動態,http://61.224.69.212:9088/udp/224.1.4.144:11111
NHK新聞資訊台,http://61.224.69.212:9088/udp/224.1.4.137:11111
Nice TV 靖天歡樂台,http://61.224.69.212:9088/udp/224.1.4.105:11111
Nice TV 靖天歡樂台,http://61.224.69.212:9088/udp/230.1.2.241:11111
Nickelodeon Asia(尼克兒童頻道),http://61.224.69.212:9088/udp/224.1.4.249:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.179:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.45:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.58:11111
PET CLUB TV,http://61.224.69.212:9088/udp/224.1.4.124:11111
PET CLUB TV,http://61.224.69.212:9088/udp/230.1.2.130:11111
ROCK Entertainment,http://61.224.69.212:9088/udp/224.1.4.131:11111
ROCK Entertainment,http://61.224.69.212:9088/udp/224.1.4.14:11111
ROCK Extreme,http://61.224.69.212:9088/udp/224.1.4.146:11111
ROCK Extreme,http://61.224.69.212:9088/udp/224.1.4.99:11111
Smart知識台,http://61.224.69.212:9088/udp/224.1.4.171:11111
Smart知識台,http://61.224.69.212:9088/udp/224.1.4.22:11111
TaiwanPlus,http://61.224.69.212:9088/udp/230.1.2.210:11111
TaiwanPlus,http://61.224.69.212:9088/udp/230.1.2.30:11111
TechStorm,http://61.224.69.212:9088/udp/224.1.4.11:11111
TECHStorm,http://61.224.69.212:9088/udp/230.1.2.159:11111
時尚頻道,http://61.224.69.212:9088/udp/230.1.2.25:11111
TRACE Sport Stars,http://61.224.69.212:9088/udp/224.1.4.242:11111
TRACE Sport Stars,http://61.224.69.212:9088/udp/230.1.2.84:11111
TRACE Urban,http://61.224.69.212:9088/udp/224.1.4.241:11111
TRACE Urban,http://61.224.69.212:9088/udp/230.1.2.82:11111
Travel Channel,http://61.224.69.212:9088/udp/230.1.2.166:11111
Travel Channel,http://61.224.69.212:9088/udp/230.1.2.4:11111
TV5MONDE STYLE HD,http://61.224.69.212:9088/udp/224.1.4.108:11111
TV5MONDE STYLE HD,http://61.224.69.212:9088/udp/224.1.4.208:11111
TV5MONDE,http://61.224.69.212:9088/udp/224.1.4.148:11111
TV5MONDE,http://61.224.69.212:9088/udp/224.1.4.16:11111
carib-639,https://fc.maa1808.com/n/rpsqccbbug/rpsqccbbug.m3u8
carib-665,https://fc.maa1808.com/c/mrpmoinlmj/mrpmoinlmj.m3u8
carib-665,https://fc.maa1808.com/g/oplnohpsmh/oplnohpsmh.m3u8
carib-674,https://fc.maa1808.com/g/jtlmkjipqv/jtlmkjipqv.m3u8
carib-675,https://fc.maa1808.com/c/qmlpmophlh/qmlpmophlh.m3u8
carib-710,https://fc.maa1808.com/h/mesmnroogk/mesmnroogk.m3u8
carib-717,https://fc.maa1808.com/f/ssoskhqgml/ssoskhqgml.m3u8
carib-744,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
carib-758,https://fc.maa1808.com/c/rnpmkvqfrr/rnpmkvqfrr.m3u8
heyzo-0705,https://fc.maa1808.com/e/hacddcsdtd/hacddcsdtd.m3u8
heyzo-1199,https://fc.maa1808.com/d/bysmgbtdit/bysmgbtdit.m3u8
heyzo-1243,https://fc.maa1808.com/c/iqwejgyxjo/iqwejgyxjo.m3u8
heyzo-1262,https://fc.maa1808.com/d/fhctzryess/fhctzryess.m3u8
heyzo-1275,https://fc.maa1808.com/m/yifrmmuwzg/yifrmmuwzg.m3u8
heyzo-1395,https://fc.maa1808.com/n/navpsngdew/navpsngdew.m3u8
heyzo-1478,https://fc.maa1808.com/c/tbpdlnyuix/tbpdlnyuix.m3u8
heyzo-1544,https://fc.maa1808.com/h/xfjsphiogs/xfjsphiogs.m3u8
heyzo-1570,https://fc.maa1808.com/b/xisxqtvjhu/xisxqtvjhu.m3u8
heyzo-1590,https://fc.maa1808.com/m/qyqycucecx/qyqycucecx.m3u8
heyzo-1601,https://fc.maa1808.com/d/mdsjynuabc/mdsjynuabc.m3u8
heyzo-1638,https://fc.maa1808.com/n/hvxlbaoohy/hvxlbaoohy.m3u8
heyzo-1691,https://fc.maa1808.com/d/gxoiwurbtv/gxoiwurbtv.m3u8
heyzo-1722,https://fc.maa1808.com/f/xbztwfweja/xbztwfweja.m3u8
heyzo-1786,https://fc.maa1808.com/b/ehazmnswdt/ehazmnswdt.m3u8
pondo-273,https://fc.maa1808.com/g/pzvktykubw/pzvktykubw.m3u8
pondo-311,https://fc.maa1808.com/c/vkitdntxfe/vkitdntxfe.m3u8
pondo-350,https://fc.maa1808.com/h/fmrcohtytf/fmrcohtytf.m3u8
pondo-366,https://fc.maa1808.com/c/wgucctcnwb/wgucctcnwb.m3u8
pondo-419,https://fc.maa1808.com/b/ptytphcyus/ptytphcyus.m3u8
pondo-450,https://fc.maa1808.com/f/omlrqipols/omlrqipols.m3u8
pondo-488,https://fc.maa1808.com/g/ibktjjcjvi/ibktjjcjvi.m3u8
pondo-518,https://fc.maa1808.com/h/uglvzhiqwb/uglvzhiqwb.m3u8
